`item_nr,stimulus_untrimmed,stimulus,flanker_type,lexicality,condition,target
1408,drir drir drir,drir drir drir,related,nonword,nonword/related,drir
1409,juif juif juif,juif juif juif,related,word,word/related,juif
1410,arti fope arti,arti fope arti,unrelated,nonword,nonword/unrelated,fope
1411,orir orir orir,orir orir orir,related,nonword,nonword/related,orir
1412, cash ,cash,no,word,word/no,cash
1413,pour mime pour,pour mime pour,unrelated,word,word/unrelated,mime
1414, base ,base,no,word,word/no,base
1415, giel ,giel,no,nonword,nonword/no,giel
1416,iser iser iser,iser iser iser,related,nonword,nonword/related,iser
1417,fier fier fier,fier fier fier,related,word,word/related,fier
1418,huit huit huit,huit huit huit,related,word,word/related,huit
1419,flid flid flid,flid flid flid,related,nonword,nonword/related,flid
1420, berf ,berf,no,nonword,nonword/no,berf
1421,drap drap drap,drap drap drap,related,word,word/related,drap
1422,faux faux faux,faux faux faux,related,word,word/related,faux
1423,vare vare vare,vare vare vare,related,nonword,nonword/related,vare
1424,oste flir oste,oste flir oste,unrelated,nonword,nonword/unrelated,flir
1425, scol ,scol,no,nonword,nonword/no,scol
1426, boge ,boge,no,nonword,nonword/no,boge
1427,aube pipi aube,aube pipi aube,unrelated,word,word/unrelated,pipi
1428,cage poil cage,cage poil cage,unrelated,word,word/unrelated,poil
1429, caie ,caie,no,nonword,nonword/no,caie
1430,dige zour dige,dige zour dige,unrelated,nonword,nonword/unrelated,zour
1431,uter uter uter,uter uter uter,related,nonword,nonword/related,uter
1432,mien logo mien,mien logo mien,unrelated,word,word/unrelated,logo
1433, orve ,orve,no,nonword,nonword/no,orve
1434,tour pied tour,tour pied tour,unrelated,word,word/unrelated,pied
1435,donc donc donc,donc donc donc,related,word,word/related,donc
1436,jore jore jore,jore jore jore,related,nonword,nonword/related,jore
1437,adre adre adre,adre adre adre,related,nonword,nonword/related,adre
1438,iage iage iage,iage iage iage,related,nonword,nonword/related,iage
1439, tade ,tade,no,nonword,nonword/no,tade
1440,zors nuce zors,zors nuce zors,unrelated,nonword,nonword/unrelated,nuce
1441,pain orge pain,pain orge pain,unrelated,word,word/unrelated,orge
1442,afer afer afer,afer afer afer,related,nonword,nonword/related,afer
